trial,contrast_left,contrast_right,response,feedback,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
38,0.5,0.5,1.0,1.0,-0.4892060717913954,0.1681479458064284,0.1676576020289209,-0.0274143722950166,-0.008080902398406671,0.07944222432774346,0.025898876221301596,0.02336224982794506,-0.02746528852099301,0.05762827098514685
39,1.0,0.5,1.0,1.0,-0.4761759812815129,0.18517118049426917,0.13437971724190045,-0.038690602541718855,-0.006760438637289467,0.0312972249992116,0.030674739774387463,0.029891890398148484,-0.05124707733863543,0.017065077496825013
40,0.0,0.5,-1.0,1.0,-0.4629204075968028,0.1818726339439937,0.17378283214673257,-0.03490886368450984,-0.006797093478130866,0.09865413177798397,0.06922185828894896,0.08417380137343501,-0.02719238112129252,0.026975180884494857
41,0.0,0.0,0.0,1.0,-0.4880861971221218,0.17391534106044643,0.20424418278706244,0.006447055209783937,-0.019323475465669156,0.10636249131662738,0.09148906284429152,0.05490075842365002,-0.05079334457067755,0.057048164013784756
42,0.25,0.0,1.0,1.0,-0.4463474714196433,0.19135407930097983,0.19161715301919552,-0.008028012550709993,0.03367255281327353,0.061923615689337914,0.07711627530614147,0.043822636796977794,-0.04489982868731562,0.04763878992930265
43,0.25,0.5,-1.0,1.0,-0.45995837706854154,0.20142397059219808,0.167591291679705,-0.006845466685063281,0.03266458855346958,0.05770932632923915,0.056165611334955984,0.04396800267161799,-0.042104707991315576,0.029986997934302328
44,0.0,0.25,-1.0,1.0,-0.44828457968530805,0.17547436375744968,0.13609283256669247,0.023898273021909753,-0.018839185657724945,0.057987278901008146,0.13476665635514407,0.036484283218317495,-0.04753423964464792,0.02444539286679082
45,1.0,0.5,1.0,1.0,-0.4308735810365514,0.14340690271339446,0.19390214768530226,0.0468039062012187,0.011041638383144448,0.05641331767762907,0.12127521967808758,0.06345813855676305,-0.036956793068465194,0.024112481826393813
46,0.5,0.0,1.0,1.0,-0.42270832971350386,0.1948325323784543,0.10263706070371313,0.01798779607986298,0.028462937587469393,0.056563179745392614,0.08200812381365258,0.043098874273865564,-0.0032440458206264796,0.0058429988798800285
47,0.25,1.0,-1.0,1.0,-0.3721186709814744,0.13328590499814194,0.11129405676260404,0.08046446794073575,0.032270881763896135,0.07053381878795206,0.10373770235061484,0.05278823100815733,-0.02596848310491871,0.014147217500742031
48,0.5,0.0,1.0,1.0,-0.3640180070083123,0.20420506576441289,0.1079300122178469,0.037171573507140565,0.07341487934069858,0.079927225981293,0.03945979949530163,0.05266579692821089,-0.020378008249076183,0.007942599173571738
49,0.0,1.0,-1.0,1.0,-0.38066952286780353,0.13797633096288112,0.12330399899213189,0.08211916167890178,0.0031371875159017957,0.06664261448381294,0.13157388379721516,0.05341127016012599,0.0055740754262326025,0.024529106871694222
